Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0029995, 0, 0, 1, 0, 0, 0, 1, 1
0.0030124, 0, 0, 0, 0, 0, 0, 1, 1
0.0030131, 0, 0, 0, 1, 0, 0, 1, 1
0.0030282, 0, 0, 0, 0, 0, 0, 1, 1
0.0030301, 0, 0, 0, 0, 0, 1, 1, 1
0.0030429, 0, 0, 1, 0, 0, 1, 1, 1
0.0030436, 0, 0, 1, 1, 0, 1, 1, 1
0.0030589, 0, 0, 1, 0, 0, 1, 1, 1
0.0030605, 0, 0, 1, 0, 0, 0, 1, 1
0.0030734, 0, 0, 0, 0, 0, 0, 1, 1
0.0030741, 0, 0, 0, 1, 0, 0, 1, 1
0.0030896, 0, 0, 0, 0, 0, 0, 1, 1
0.0030912, 0, 0, 0, 0, 0, 1, 1, 1
0.0031046, 0, 0, 1, 0, 0, 1, 1, 1
0.0031054, 0, 0, 1, 1, 0, 1, 1, 1
0.0031197, 0, 0, 1, 0, 0, 1, 1, 1
0.0031216, 0, 0, 1, 0, 0, 0, 1, 1
0.0031344, 0, 0, 0, 0, 0, 0, 1, 1
0.0031351, 0, 0, 0, 1, 0, 0, 1, 1
0.0031362, 0, 0, 0, 1, 1, 0, 1, 1
0.0031502, 0, 0, 0, 0, 1, 0, 1, 1
0.0031522, 0, 0, 0, 0, 1, 1, 1, 1
0.0031649, 0, 0, 1, 0, 1, 1, 1, 1
0.0031656, 0, 0, 1, 1, 1, 1, 1, 1
0.0031809, 0, 0, 1, 0, 1, 1, 1, 1
0.0031826, 0, 0, 1, 0, 1, 0, 1, 1
0.0031958, 0, 0, 0, 0, 1, 0, 1, 1
0.0031966, 0, 0, 0, 1, 1, 0, 1, 1
0.0032112, 0, 0, 0, 0, 1, 0, 1, 1
0.0032132, 0, 0, 0, 0, 1, 1, 1, 1
0.0032259, 0, 0, 1, 0, 1, 1, 1, 1
0.0032266, 0, 0, 1, 1, 1, 1, 1, 1
0.0032279, 0, 0, 1, 1, 0, 1, 1, 1
0.0032417, 0, 0, 1, 0, 0, 1, 1, 1
0.0032437, 0, 0, 1, 0, 0, 0, 1, 1
0.0032564, 0, 0, 0, 0, 0, 0, 1, 1
0.0032571, 0, 0, 0, 1, 0, 0, 1, 1
0.0032582, 0, 0, 0, 1, 1, 0, 1, 1
0.0032722, 0, 0, 0, 0, 1, 0, 1, 1
0.0032743, 0, 0, 0, 0, 1, 1, 1, 1
0.0032869, 0, 0, 1, 0, 1, 1, 1, 1
0.0032876, 0, 0, 1, 1, 1, 1, 1, 1
0.0033027, 0, 0, 1, 0, 1, 1, 1, 1
0.0033047, 0, 0, 1, 0, 1, 0, 1, 1
0.0033177, 0, 0, 0, 0, 1, 0, 1, 1
0.0033185, 0, 0, 0, 1, 1, 0, 1, 1
0.0033332, 0, 0, 0, 0, 1, 0, 1, 1
0.0033353, 0, 0, 0, 0, 1, 1, 1, 1
0.0033479, 0, 0, 1, 0, 1, 1, 1, 1
0.0033487, 0, 0, 1, 1, 1, 1, 1, 1
0.0033499, 0, 0, 1, 1, 0, 1, 1, 1
0.0033637, 0, 0, 1, 0, 0, 1, 1, 1
0.0033657, 0, 0, 1, 0, 0, 0, 1, 1
0.0033787, 0, 0, 0, 0, 0, 0, 1, 1
0.0033794, 0, 0, 0, 1, 0, 0, 1, 1
0.0033805, 0, 0, 0, 1, 1, 0, 1, 1
0.0033950, 0, 0, 0, 0, 1, 0, 1, 1
0.0033964, 0, 0, 0, 0, 1, 1, 1, 1
0.0034091, 0, 0, 1, 0, 1, 1, 1, 1
0.0034098, 0, 0, 1, 1, 1, 1, 1, 1
0.0034111, 0, 0, 1, 1, 0, 1, 1, 1
0.0034247, 0, 0, 1, 0, 0, 1, 1, 1
0.0034268, 0, 0, 1, 0, 0, 0, 1, 1
0.0034398, 0, 0, 0, 0, 0, 0, 1, 1
0.0034405, 0, 0, 0, 1, 0, 0, 1, 1
0.0034552, 0, 0, 0, 0, 0, 0, 1, 1
0.0034574, 0, 0, 0, 0, 0, 1, 1, 1
0.0034699, 0, 0, 1, 0, 0, 1, 1, 1
0.0034707, 0, 0, 1, 1, 0, 1, 1, 1
0.0034859, 0, 0, 1, 0, 0, 1, 1, 1
0.0034878, 0, 0, 1, 0, 0, 0, 1, 1
0.0035004, 0, 0, 0, 0, 0, 0, 1, 1
0.0035012, 0, 0, 0, 1, 0, 0, 1, 1
0.0035165, 0, 0, 0, 0, 0, 0, 1, 1
0.0035184, 0, 0, 0, 0, 0, 1, 1, 1
0.0035309, 0, 0, 1, 0, 0, 1, 1, 1
0.0035317, 0, 0, 1, 1, 0, 1, 1, 1
0.0035472, 0, 0, 1, 0, 0, 1, 1, 1
0.0035489, 0, 0, 1, 0, 0, 0, 1, 1
0.0035622, 0, 0, 0, 0, 0, 0, 1, 1
0.0035630, 0, 0, 0, 1, 0, 0, 1, 1
0.0035772, 0, 0, 0, 0, 0, 0, 1, 1
0.0035795, 0, 0, 0, 0, 0, 1, 1, 1
