Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0177029, 0, 0, 1, 1, 1, 1, 0, 0
0.0177105, 0, 0, 1, 1, 1, 1, 0, 1
0.0177162, 0, 0, 0, 1, 1, 1, 0, 1
0.0177181, 0, 0, 0, 1, 1, 0, 0, 1
0.0177182, 0, 0, 0, 1, 1, 0, 1, 1
0.0177334, 0, 0, 0, 1, 1, 0, 0, 1
0.0177468, 0, 0, 1, 1, 1, 0, 0, 1
0.0177486, 0, 0, 1, 1, 1, 0, 1, 1
0.0177487, 0, 0, 1, 1, 1, 1, 1, 1
0.0177639, 0, 0, 1, 1, 1, 1, 0, 1
0.0177715, 0, 0, 1, 1, 1, 1, 0, 0
0.0177772, 0, 0, 0, 1, 1, 1, 0, 0
0.0177791, 0, 0, 0, 1, 1, 0, 0, 0
0.0177792, 0, 0, 0, 1, 1, 0, 1, 0
0.0177944, 0, 0, 0, 1, 1, 0, 0, 0
0.0178021, 0, 0, 0, 1, 1, 0, 0, 1
0.0178077, 0, 0, 1, 1, 1, 0, 0, 1
0.0178097, 0, 0, 1, 1, 1, 1, 1, 1
0.0178249, 0, 0, 1, 1, 1, 1, 0, 1
0.0178326, 0, 0, 1, 1, 1, 1, 0, 0
0.0178382, 0, 0, 0, 1, 1, 1, 0, 0
0.0178402, 0, 0, 0, 1, 1, 0, 1, 0
0.0178555, 0, 0, 0, 1, 1, 0, 0, 0
0.0178687, 0, 0, 1, 1, 1, 0, 0, 0
0.0178707, 0, 0, 1, 1, 1, 0, 1, 0
0.0178708, 0, 0, 1, 1, 1, 1, 1, 0
0.0178860, 0, 0, 1, 1, 1, 1, 0, 0
0.0178936, 0, 0, 1, 1, 1, 1, 0, 1
0.0178993, 0, 0, 0, 1, 1, 1, 0, 1
0.0179012, 0, 0, 0, 1, 1, 0, 0, 1
0.0179013, 0, 0, 0, 1, 1, 0, 1, 1
0.0179165, 0, 0, 0, 1, 1, 0, 0, 1
0.0179241, 0, 0, 0, 1, 1, 0, 0, 0
0.0179297, 0, 0, 1, 1, 1, 0, 0, 0
0.0179318, 0, 0, 1, 1, 1, 1, 1, 0
0.0179470, 0, 0, 1, 1, 1, 1, 0, 0
0.0179602, 0, 0, 0, 1, 1, 1, 0, 0
0.0179623, 0, 0, 0, 1, 1, 0, 1, 0
0.0179775, 0, 0, 0, 1, 1, 0, 0, 0
0.0179907, 0, 0, 1, 1, 1, 0, 0, 0
0.0179928, 0, 0, 1, 1, 1, 1, 1, 0
0.0180081, 0, 0, 1, 1, 1, 1, 0, 0
0.0180212, 0, 0, 0, 1, 1, 1, 0, 0
0.0180233, 0, 0, 0, 1, 1, 0, 0, 0
0.0180234, 0, 0, 0, 1, 1, 0, 1, 0
0.0180386, 0, 0, 0, 1, 1, 0, 0, 0
0.0180517, 0, 0, 1, 1, 1, 0, 0, 0
0.0180538, 0, 0, 1, 1, 1, 0, 1, 0
0.0180539, 0, 0, 1, 1, 1, 1, 1, 0
0.0180691, 0, 0, 1, 1, 1, 1, 0, 0
0.0180822, 0, 0, 0, 1, 1, 1, 0, 0
0.0180843, 0, 0, 0, 1, 1, 0, 0, 0
0.0180844, 0, 0, 0, 1, 1, 0, 1, 0
0.0180996, 0, 0, 0, 1, 1, 0, 0, 0
0.0181127, 0, 0, 1, 1, 1, 0, 0, 0
0.0181149, 0, 0, 1, 1, 1, 1, 1, 0
0.0181301, 0, 0, 1, 1, 1, 1, 0, 0
0.0181441, 0, 0, 0, 1, 1, 1, 0, 0
0.0181454, 0, 0, 0, 1, 1, 0, 1, 0
0.0181607, 0, 0, 0, 1, 1, 0, 0, 0
0.0181738, 0, 0, 1, 1, 1, 0, 0, 0
0.0181759, 0, 0, 1, 1, 1, 0, 1, 0
0.0181760, 0, 0, 1, 1, 1, 1, 1, 0
0.0181912, 0, 0, 1, 1, 1, 1, 0, 0
0.0182045, 0, 0, 0, 1, 1, 1, 0, 0
0.0182064, 0, 0, 0, 1, 1, 0, 0, 0
0.0182065, 0, 0, 0, 1, 1, 0, 1, 0
0.0182217, 0, 0, 0, 1, 1, 0, 0, 0
0.0182348, 0, 0, 1, 1, 1, 0, 0, 0
0.0182370, 0, 0, 1, 1, 1, 1, 1, 0
0.0182522, 0, 0, 1, 1, 1, 1, 0, 0
0.0182653, 0, 0, 0, 1, 1, 1, 0, 0
0.0182675, 0, 0, 0, 1, 1, 0, 1, 0
0.0182827, 0, 0, 0, 1, 1, 0, 0, 0
0.0182904, 0, 0, 0, 1, 1, 0, 0, 1
0.0182958, 0, 0, 1, 1, 1, 0, 0, 1
0.0182980, 0, 0, 1, 1, 1, 1, 1, 1
0.0183133, 0, 0, 1, 1, 1, 1, 0, 1
0.0183209, 0, 0, 1, 1, 1, 1, 0, 0
0.0183263, 0, 0, 0, 1, 1, 1, 0, 0
0.0183285, 0, 0, 0, 1, 1, 0, 0, 0
0.0183286, 0, 0, 0, 1, 1, 0, 1, 0
0.0183438, 0, 0, 0, 1, 1, 0, 0, 0
0.0183568, 0, 0, 1, 1, 1, 0, 0, 0
0.0183590, 0, 0, 1, 1, 1, 0, 1, 0
0.0183591, 0, 0, 1, 1, 1, 1, 1, 0
0.0183743, 0, 0, 1, 1, 1, 1, 0, 0
0.0183875, 0, 0, 0, 1, 1, 1, 0, 0
0.0183895, 0, 0, 0, 1, 1, 0, 0, 0
0.0183896, 0, 0, 0, 1, 1, 0, 1, 0
0.0184048, 0, 0, 0, 1, 1, 0, 0, 0
0.0184178, 0, 0, 1, 1, 1, 0, 0, 0
0.0184201, 0, 0, 1, 1, 1, 1, 1, 0
0.0184353, 0, 0, 1, 1, 1, 1, 0, 0
0.0184483, 0, 0, 0, 1, 1, 1, 0, 0
0.0184506, 0, 0, 0, 1, 1, 0, 1, 0
0.0184659, 0, 0, 0, 1, 1, 0, 0, 0
0.0184788, 0, 0, 1, 1, 1, 0, 0, 0
0.0184811, 0, 0, 1, 1, 1, 0, 1, 0
0.0184812, 0, 0, 1, 1, 1, 1, 1, 0
0.0184964, 0, 0, 1, 1, 1, 1, 0, 0
0.0185093, 0, 0, 0, 1, 1, 1, 0, 0
0.0185116, 0, 0, 0, 1, 1, 0, 0, 0
0.0185117, 0, 0, 0, 1, 1, 0, 1, 0
0.0185269, 0, 0, 0, 1, 1, 0, 0, 0
0.0185400, 0, 0, 1, 1, 1, 0, 0, 0
0.0185422, 0, 0, 1, 1, 1, 1, 1, 0
0.0185574, 0, 0, 1, 1, 1, 1, 0, 0
0.0185703, 0, 0, 0, 1, 1, 1, 0, 0
0.0185727, 0, 0, 0, 1, 1, 0, 1, 0
0.0185879, 0, 0, 0, 1, 1, 0, 0, 0
0.0185956, 0, 0, 0, 1, 1, 0, 0, 1
0.0186008, 0, 0, 1, 1, 1, 0, 0, 1
0.0186032, 0, 0, 1, 1, 1, 1, 1, 1
0.0186184, 0, 0, 1, 1, 1, 1, 0, 1
0.0186314, 0, 0, 0, 1, 1, 1, 0, 1
0.0186337, 0, 0, 0, 1, 1, 0, 0, 1
0.0186338, 0, 0, 0, 1, 1, 0, 1, 1
0.0186490, 0, 0, 0, 1, 1, 0, 0, 1
0.0186566, 0, 0, 0, 1, 1, 0, 0, 0
0.0186618, 0, 0, 1, 1, 1, 0, 0, 0
0.0186642, 0, 0, 1, 1, 1, 0, 1, 0
0.0186643, 0, 0, 1, 1, 1, 1, 1, 0
0.0186795, 0, 0, 1, 1, 1, 1, 0, 0
0.0186872, 0, 0, 1, 1, 1, 1, 0, 1
0.0186923, 0, 0, 0, 1, 1, 1, 0, 1
0.0186947, 0, 0, 0, 1, 1, 0, 0, 1
0.0186948, 0, 0, 0, 1, 1, 0, 1, 1
0.0187100, 0, 0, 0, 1, 1, 0, 0, 1
0.0187228, 0, 0, 1, 1, 1, 0, 0, 1
0.0187253, 0, 0, 1, 1, 1, 1, 1, 1
0.0187405, 0, 0, 1, 1, 1, 1, 0, 1
0.0187533, 0, 0, 0, 1, 1, 1, 0, 1
0.0187558, 0, 0, 0, 1, 1, 0, 1, 1
0.0187710, 0, 0, 0, 1, 1, 0, 0, 1
