Time[s], Channel 0, Channel 1, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0144625, 0, 1, 1, 1, 0, 1, 1
0.0144931, 0, 1, 1, 1, 1, 1, 1
0.0145235, 0, 1, 1, 1, 0, 1, 1
0.0145541, 0, 1, 1, 1, 1, 1, 1
0.0145846, 0, 1, 1, 1, 0, 1, 1
0.0146152, 0, 1, 1, 1, 1, 1, 1
0.0146456, 0, 1, 1, 1, 0, 1, 1
0.0146762, 0, 1, 1, 1, 1, 1, 1
0.0147066, 0, 1, 1, 1, 0, 1, 1
0.0147373, 0, 1, 1, 1, 1, 1, 1
0.0147677, 0, 1, 1, 1, 0, 1, 1
0.0147983, 0, 1, 1, 1, 1, 1, 1
0.0148287, 0, 1, 1, 1, 0, 1, 1
0.0148593, 0, 1, 1, 1, 1, 1, 1
0.0148898, 0, 1, 1, 1, 0, 1, 1
0.0149204, 0, 1, 1, 1, 1, 1, 1
0.0149508, 0, 1, 1, 1, 0, 1, 1
0.0149814, 0, 1, 1, 1, 1, 1, 1
0.0150118, 0, 1, 1, 1, 0, 1, 1
0.0150425, 0, 1, 1, 1, 1, 1, 1
0.0150729, 0, 1, 1, 1, 0, 1, 1
0.0151035, 0, 1, 1, 1, 1, 1, 1
0.0151339, 0, 1, 1, 1, 0, 1, 1
0.0151645, 0, 1, 1, 1, 1, 1, 1
0.0151950, 0, 1, 1, 1, 0, 1, 1
0.0152256, 0, 1, 1, 1, 1, 1, 1
0.0152560, 0, 1, 1, 1, 0, 1, 1
0.0152866, 0, 1, 1, 1, 1, 1, 1
0.0153170, 0, 1, 1, 1, 0, 1, 1
0.0153476, 0, 1, 1, 1, 1, 1, 1
0.0153781, 0, 1, 1, 1, 0, 1, 1
0.0154087, 0, 1, 1, 1, 1, 1, 1
0.0154391, 0, 1, 1, 1, 0, 1, 1
0.0154697, 0, 1, 1, 1, 1, 1, 1
0.0155001, 0, 1, 1, 1, 0, 1, 1
0.0155308, 0, 1, 1, 1, 1, 1, 1
0.0155612, 0, 1, 1, 1, 0, 1, 1
0.0155918, 0, 1, 1, 1, 1, 1, 1
0.0156222, 0, 1, 1, 1, 0, 1, 1
